name,address,city,state,postal_code,latitude,longitude,google_place_id
MURPHY'S LAW,417 EAST   70 STREET,Manhattan,NY,10021,40.766242540347,-73.95635437449,ChIJSza9YsFYwokRFDc5KJtpiDg
CARAVAN CHICKEN,3501 BROADWAY,Queens,NY,11106,40.760419216376,-73.922069247592,ChIJWxsEMDpfwokRFmKpXBvEaWI
CARRY ON TEA & SYMPATHY,110 GREENWICH AVENUE,Manhattan,NY,10011,40.738410714539,-74.002190387465,ChIJ8V248u1ZwokRBWUE0UfSc5g
CONNIE O'S,158 NORMAN AVENUE,Brooklyn,NY,11222,40.726629432219,-73.948078626528,ChIJ14HCHkZZwokRkPIGjV78aIE
STARBUCKS,750 7 AVENUE,Manhattan,NY,10019,40.760746417645,-73.983525051517,ChIJQ2BPG1ZYwokRoFD8_gpVfN4
STARBUCKS,2530 HYLAN BOULEVARD,Staten Island,NY,10306,40.570012170834,-74.110196084465,ChIJB9nLZE5JwokRUfHjOVslD94
LA PERLA MEXICANA,281 EAST  149 STREET,Bronx,NY,10451,40.817142081133,-73.921800249338,ChIJz4YJsM_1wokRgCMov116n1A
CAFFE NAPOLI,191 HESTER STREET,Manhattan,NY,10013,40.718115916207,-73.997803067196,ChIJiQLn0olZwokRfEzgUqTR-r8
USULUTECO RESTAURANT,4017 5 AVENUE,Brooklyn,NY,11232,40.650544988212,-74.004634455099,ChIJGTaHxMdawokRAywP6TO2oh4
STARBUCKS,6151 188 STREET,Queens,NY,11365,40.73937721415,-73.78575728482,ChIJ2RQH-bBhwokRTxgg6q8oot0
FACES & NAMES,161 WEST   54 STREET,Manhattan,NY,10019,40.76329860681,-73.980726745472,ChIJ9YIwR_hYwokR_WnkYaG33mo
WENDY'S,21944 HILLSIDE AVENUE,Queens,NY,11427,40.730135418382,-73.744160354908,ChIJWUGFlihiwokRYs9ih_as9yo
EL RIO GRANDE,160 EAST   38 STREET,Manhattan,NY,10016,40.748413033027,-73.976721369511,ChIJV33cGARZwokR1An0pGmgUps
BOCCA DI BACCO,635 NINTH AVENUE,Manhattan,NY,10036,40.760148919682,-73.991387188228,ChIJAbHSp8NZwokRV56pK23WC_Y
GLEN ROY BAR AND GRILL,145 EAST  149 STREET,Bronx,NY,10451,40.818746337462,-73.928027031652,ChIJr21OHdH1wokRiujGxHx1xlc
STARBUCKS,370 7 AVENUE,Manhattan,NY,10001,40.74878293031,-73.992244022445,ChIJpU_RVK5ZwokRmAtTNwJNDyQ
AN BEAL BOCHT CAFE,445 WEST  238 STREET,Bronx,NY,10463,40.887273807158,-73.904965067861,ChIJxTOdjLvzwokR5HWDbnyl2jw
STARBUCKS,48 WEST   73 STREET,Manhattan,NY,10023,40.77772993905,-73.977462103756,ChIJycddk4tYwokRggnjkzVfDu8
DIAMANTE POBLANO RESTAURANT,2431 JEROME AVENUE,Bronx,NY,10468,40.862079885291,-73.90161368759,ChIJ3SWAHojzwokRtcCsQfNM_Ns
ARCHER SPORTS BAR,1511 WHITE PLAINS ROAD,Bronx,NY,10462,40.838425420318,-73.863662101319,ChIJXYTEzmb1wokR8zsnE4ongLs
NATIONAL ARTS CLUB,15 GRAMERCY PARK SOUTH,Manhattan,NY,10003,40.737775898673,-73.986482515651,
THE HEIGHTS BAR & GRILL,2867 BROADWAY,Manhattan,NY,10025,40.805064848224,-73.966052792085,ChIJMS6bmjv2wokRgIfSoY9u1gw
GEORGES RESTAURANT,5701 5 AVENUE,Brooklyn,NY,11220,40.641088397474,-74.014474306129,ChIJW8J9NLNawokRJ2ze_3cmrG4
EL DORADO SPORTS LOUNGE,108-15 LIBERTY AVENUE,Queens,NY,11419,40.683994861546,-73.83303944585,ChIJw5xfgFpnwokRN1iyPS5z6BY
THE SPRING LOUNGE,48 SPRING STREET,Manhattan,NY,10012,40.721988747863,-73.996403169491,ChIJV6QByYhZwokR_LRSbt9s0gU
SHAMROCK INN,1729 CROSBY AVENUE,Bronx,NY,10461,40.845892424158,-73.831539981755,ChIJ0cLOfUKLwokRzZJIooIR-og
BURGER KING,3310 ASTORIA BOULEVARD,Queens,NY,11103,40.769681413602,-73.916238646741,ChIJMUCXZUFfwokRLA4h9yYw59w
WESTSIDE THEATRE,407 WEST   43 STREET,Manhattan,NY,10036,40.759372248901,-73.992777018183,ChIJTeuJWlJYwokR4HpCvsWtDck
RIO DE LA PLATA BAKERY,9465 CORONA AVE,Queens,NY,11373,40.742302665669,-73.869471186058,ChIJd636t7VfwokRS6H5513oCc8
NEW WAH KITCHEN,1474 WESTCHESTER AVENUE,Bronx,NY,10472,40.828393786538,-73.881330819408,ChIJ73D0afr0wokRHeFgjqalTJ8
TAVERN ON JANE,31 8 AVENUE,Manhattan,NY,10014,40.738171866483,-74.004135378917,ChIJvZJQfZVZwokRMOpjuxvUDG4
THE GATE,321 FIFTH AVENUE,Brooklyn,NY,11215,40.672647578442,-73.983388278646,ChIJ6QdZIf5awokRutxyFrN3tck
CRAB SHANTY,361 CITY ISLAND AVENUE,Bronx,NY,10464,40.84864561614,-73.787019700962,ChIJg-5OF3mMwokRLWcz9lsaWNo
TRIAD THEATER,158 WEST   72 STREET,Manhattan,NY,10023,40.778153202493,-73.980588833228,ChIJ8YUIOIpYwokRyftKIX0LIys
NICOLA'S RESTAURANT,146 EAST   84 STREET,Manhattan,NY,10028,40.777990009752,-73.956130002968,ChIJiVKOUbxYwokRIvJ_tXSlntA
HUDSON BAR AND BOOKS,636 HUDSON STREET,Manhattan,NY,10014,40.73865488759,-74.005499444447,ChIJs-fI479ZwokRecYht5wdRPk
WHITESTONE BAGEL FACTORY,2417 149 STREET,Queens,NY,11357,40.77686257535,-73.817572391066,ChIJlyd0vJiKwokRVqPyK_it5WY
LA BONBONNIERE,28 8 AVENUE,Manhattan,NY,10014,40.737760135509,-74.004568374549,ChIJj1NmZZVZwokRZ7t6RkyDV0o
TOPAZE RESTAURANT,428 EAST   48 STREET,Brooklyn,NY,11203,40.651241462544,-73.932291552436,ChIJpbLVAp9cwokRYjKuSawJOSs
MEZCALS RESTAURANT,223 5 AVENUE,Brooklyn,NY,11215,40.675861310029,-73.980817004063,ChIJm4lDgqpbwokRZjRJno6elsg
PETE'S PLACE,5620 1 AVENUE,Brooklyn,NY,11220,40.646897744076,-74.022803439257,ChIJd4fxZatawokR6sGd6OjMtlM
VINNY'S OF CARROLL GARDEN RESTAURANT & LUNCHEONETT,295 SMITH STREET,Brooklyn,NY,11231,40.681920462011,-73.993704836374,ChIJwcrFSFdawokR0u_-xs509gs
BALTHAZAR RESTAURANT,80 SPRING STREET,Manhattan,NY,10012,40.72270242812,-73.998109569261,ChIJt7fMLIlZwokRCRtM9bNDg78
BALTHAZAR BAKERY,80 SPRING STREET,Manhattan,NY,10012,40.72270242812,-73.998109569261,ChIJt7fMLIlZwokRCRtM9bNDg78
NAPOLI PIZZA,254A LIVONIA AVENUE,Brooklyn,NY,11212,40.662602040497,-73.908490733584,ChIJczyJTvRcwokRORPQyx0FWhs
FAMOUS JOE'S PIZZA,7 CARMINE STREET,Manhattan,NY,10014,40.730464624216,-74.002042192588,ChIJ8Q2WSpJZwokRQz-bYYgEskM
WHITE CASTLE,8903 57 AVENUE,Queens,NY,11373,40.734527887237,-73.872936047012,ChIJ4wMNnVpewokRkjSNm49bc3g
CIPRIANI DOWNTOWN RESTAURANT,376 WEST BROADWAY,Manhattan,NY,10012,40.723761894136,-74.002604795374,ChIJ71HLcIxZwokRXymDgawloWI
BARRY'S RESTAURANT,707 EAST  235 STREET,Bronx,NY,10466,40.894743625256,-73.856138382424,ChIJX4urgCfzwokRzYtrrSEoz4I
