camis,foursquare_fsq_id,google_place_id
40366109,4a00fcfcf964a520cb701fe3,ChIJyctDtf1awokR37wYwLWGPIo
40366132,4a4d4dd2f964a520dcad1fe3,ChIJO-UIwMVNwokRc5w60Z4FMpo
40366154,42508380f964a520c1201fe3,ChIJ2cccPJlEwokRnkUFMJ3M_-k
40366222,3fd66200f964a520dde41ee3,ChIJQalvcBZawokRGSuWUh6cZiI
40366230,4ac7e812f964a5207fba20e3,ChIJ4Vgyn2tnwokRi3vnVvaHfv8
40366356,4bd3c969caff952145ced5f0,ChIJYS8doUtCwokRYEs3oC4fPNU
40366471,4606214ef964a520c6441fe3,ChIJyZn7GXlEwokR8z0rpM0kTUU
40366473,3fd66200f964a52032eb1ee3,ChIJ06Eo6ZNZwokR_ngr5nAD7do
40366487,455f02b7f964a5208c3d1fe3,ChIJIR1zpoREwokR4K-1vhYrzv0
40366497,4c12db67a5eb76b08301bfb7,ChIJQegVNqPzwokRJBfBwvZqrY8
40366543,4c0fe9d76b7e2d7f7aca2635,ChIJ43rlGLlfwokRkwb5mrdsl00
40366574,4a00cd70f964a520b3701fe3,ChIJWUf6PBFawokRifmCHSgp17w
40366586,4b67494df964a520e9452be3,ChIJpew-iItgwokRF1WUp8APwpU
40366652,4aa69424f964a5203c4a20e3,ChIJAxQpsDdawokRVz-rTsNwDSo
40366711,4baea2abf964a52040c93be3,ChIJq-b4AW5OwokRPOf5Xq7VWtQ
40366716,3fd66200f964a520b3ea1ee3,ChIJO8Bn7eRYwokRzpiMOXnARiU
40366742,4bd7877e5cf276b014919b00,ChIJiZATVXlDwokRjg4laJy4bfA
40366879,4b47d987f964a520794126e3,ChIJFx8HV6lfwokRZBepb4QEmX8
40366928,4bca34d4511f95212f51afc7,ChIJu1cimoNPwokRVR3oxRVUVa0
40366938,4c407b2dda3dc928c85dc7b9,ChIJrTFo48j0wokREh-lN_bawU8
40366961,4aeb7bd4f964a5208cc221e3,ChIJW26mKqRbwokR6Izc28izkfE
40367005,4baa49f2f964a520785b3ae3,ChIJDT7saSJFwokR4SzquhN44KY
40367038,3fd66200f964a52044e71ee3,ChIJ5Yl_fQlZwokRc5aNVwXCQgg
40367161,4bc8eeb2fb84c9b655171a3e,ChIJa-6o0R6LwokRuZQIloWnauY
40367189,3fd66200f964a52094e61ee3,ChIJEXPuhotZwokRa4EDU1xXe8E
40367232,4b80c480f964a520ff8a30e3,ChIJ5zSs_mdfwokReKFvC6twfIU
40367240,686821be4f95491ccec75d93,ChIJQbScbBtfwokRQv6ITr1Wt-c
40367241,3fd66200f964a52044ea1ee3,ChIJORutA8BYwokR6obC5YpaamM
40367338,4e1e32498877933f6973c411,ChIJkTUkH_dYwokR4WJX186l4Os
40367339,4e1e32498877933f6973c411,ChIJe8AFBXhZwokR6LfDf9I1Psw
40367365,4733656ef964a520294c1fe3,ChIJFZlc5FhYwokRbT7uEa40OmY
40367373,4afb587bf964a5202b1d22e3,ChIJz1Tn8OhYwokR3vYhdkNqVFc
40367377,3fd66200f964a520fcf01ee3,ChIJYWfnkHhewokRJg65MA20rGA
40367442,4e587ab7fa76435f0bdeedbf,ChIJyUbUR91NwokRD7dOVDks_58
40367728,4a84b810f964a5206efd1fe3,ChIJucrMu-NYwokRzSk_xQa9Ck4
